step,gs0,gs1,gs2,
1271,960,960,959,
1272,960,961,960,
1273,960,961,960,
1274,960,960,959,
1275,960,960,959,
1276,960,961,959,
1277,960,961,959,
1278,960,960,960,
1279,960,960,960,
1280,960,961,959,
1281,960,960,960,
1282,960,960,960,
1283,961,960,960,
1284,961,960,960,
1285,960,960,960,
1286,960,960,960,
1287,960,961,960,
1288,960,961,960,
1289,960,960,960,
1290,960,960,960,
1291,961,961,959,
1292,961,961,959,
1293,960,961,960,
1294,960,961,960,
1295,961,961,959,
1296,961,961,959,
1297,960,960,960,
1298,960,960,960,
1299,961,961,959,
